,mask,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9
33,MONTPELLIER/COS9/MONTPELLIER_3_mask.tif,839532,37108,531890,28285,920540,1056069,138454,568452,65226,8748
34,MONTPELLIER/COS9/MONTPELLIER_4_mask.tif,747750,54475,197012,0,1064633,1542146,109305,467141,7560,4282
35,MONTPELLIER/COS9/MONTPELLIER_5_mask.tif,982468,28551,281537,11234,809347,1332021,121440,524837,91433,11436
36,MONTPELLIER/COS9/MONTPELLIER_6_mask.tif,989751,59913,237196,24644,1147922,971710,126235,512680,122309,1944
37,MONTPELLIER/COS9/MONTPELLIER_7_mask.tif,735392,8270,437179,123477,809187,1307895,182382,558911,17397,14214
38,MONTPELLIER/COS9/MONTPELLIER_8_mask.tif,924686,34989,736242,156729,824090,908582,105253,454703,45142,3888
39,MONTPELLIER/COS9/MONTPELLIER_9_mask.tif,774690,16852,381868,62,920452,969793,253795,596421,278056,2315
40,STRASBOURG/COS9/STRASBOURG_0_mask.tif,528951,108933,1273722,1199,654149,562103,374851,645896,44078,422
41,STRASBOURG/COS9/STRASBOURG_1_mask.tif,125105,350025,2216801,103148,142824,896244,113717,223158,22829,453
42,STRASBOURG/COS9/STRASBOURG_2_mask.tif,507435,139512,1053423,166249,627614,561032,299835,819986,19218,0
43,STRASBOURG/COS9/STRASBOURG_3_mask.tif,456701,151722,999858,176165,528062,1008002,182378,686762,1378,3276
44,STRASBOURG/COS9/STRASBOURG_4_mask.tif,537965,18018,847642,144040,698039,1432139,152926,360883,0,2652
45,STRASBOURG/COS9/STRASBOURG_5_mask.tif,417010,28986,915648,479252,469633,1448796,63289,367909,0,3781
46,STRASBOURG/COS9/STRASBOURG_6_mask.tif,465176,200195,1026130,167157,553228,1109091,204888,395459,71444,1536
47,STRASBOURG/COS9/STRASBOURG_7_mask.tif,578619,242207,1163439,87171,533142,997196,71558,395709,122916,2347
48,STRASBOURG/COS9/STRASBOURG_8_mask.tif,610979,306542,787299,38072,863643,843739,222308,468928,50973,1821
49,STRASBOURG/COS9/STRASBOURG_9_mask.tif,642131,92594,1029419,483,764743,1043924,162905,408334,47887,1884
50,NANTES/COS9/NANTES_0_mask.tif,640422,116811,642277,734,360405,1965904,11098,453996,0,2657
51,NANTES/COS9/NANTES_1_mask.tif,391539,21771,1610328,27855,171213,1423079,133552,414967,0,0
52,NANTES/COS9/NANTES_2_mask.tif,446661,77294,2088559,5361,265969,1130419,13880,164300,0,1861
53,NANTES/COS9/NANTES_3_mask.tif,1212555,36067,170006,0,1155054,1229329,28149,362136,0,1008
54,NANTES/COS9/NANTES_4_mask.tif,1204432,349,114754,303350,1077732,878927,252073,361452,1040,195
55,NANTES/COS9/NANTES_5_mask.tif,1191930,49386,140490,605246,1173877,302708,186694,483721,60252,0
56,NANTES/COS9/NANTES_6_mask.tif,881364,98905,1095886,6311,629403,562887,349665,569883,0,0
57,NANTES/COS9/NANTES_7_mask.tif,1369166,6061,479047,136,1012710,794931,63658,466836,0,1759
58,NANTES/COS9/NANTES_8_mask.tif,752751,33577,1028038,31372,696619,596688,514738,539627,0,894
59,NANTES/COS9/NANTES_9_mask.tif,230002,382942,1474954,0,1273942,642676,0,189788,0,0
60,PARIS/COS9/PARIS_0_mask.tif,365113,117047,1114257,99461,239057,1499079,70990,593462,95838,0
61,PARIS/COS9/PARIS_1_mask.tif,1000378,25380,706836,216847,970471,342654,142989,654848,133901,0
62,PARIS/COS9/PARIS_2_mask.tif,922571,40014,564998,161112,1161725,201184,266908,588125,287667,0
63,PARIS/COS9/PARIS_3_mask.tif,875263,111323,776975,65270,783422,703850,170342,690158,17701,0
64,PARIS/COS9/PARIS_4_mask.tif,1074137,77323,587378,80097,842456,618434,140168,559378,214933,0
65,PARIS/COS9/PARIS_5_mask.tif,920333,55295,487844,176421,911598,537271,153100,655130,297312,0
66,PARIS/COS9/PARIS_6_mask.tif,1122509,2812,199465,664368,1018133,529970,60477,576017,20553,0
67,PARIS/COS9/PARIS_7_mask.tif,542446,282828,516973,698768,781699,740119,62554,562507,0,6410
68,PARIS/COS9/PARIS_8_mask.tif,551143,47284,780661,747025,518439,908098,104543,530080,7031,0
69,PARIS/COS9/PARIS_9_mask.tif,1270471,27426,611803,91394,1015419,353878,90316,724012,0,9585
70,PARIS/COS9/PARIS_10_mask.tif,742902,110464,376400,0,1032874,1283812,22283,622232,0,3337
71,PARIS/COS9/PARIS_11_mask.tif,890790,77579,209694,151321,1811274,292087,85266,676293,0,0
72,PARIS/COS9/PARIS_12_mask.tif,1053493,0,189419,649751,1228680,414042,57224,546389,55306,0
73,PARIS/COS9/PARIS_13_mask.tif,679889,244965,339454,0,1584994,417182,162610,731976,33234,0
74,PARIS/COS9/PARIS_14_mask.tif,745588,278709,317911,0,1667904,448950,106456,628497,0,289
75,PARIS/COS9/PARIS_15_mask.tif,893362,231387,267073,421214,823000,758480,58069,741719,0,0
76,PARIS/COS9/PARIS_16_mask.tif,996362,11074,384101,1328,1492479,735301,36571,537088,0,0
77,PARIS/COS9/PARIS_17_mask.tif,989388,32642,235686,193949,1688823,465996,7941,579879,0,0
78,PARIS/COS9/PARIS_18_mask.tif,879268,6375,47047,572374,1661738,288811,64834,673857,0,0
79,PARIS/COS9/PARIS_19_mask.tif,1077409,131235,290893,0,1372258,462025,110675,441821,307988,0
