dataset_cls,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
DigitanieToulouse,53,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,500,500,500,500,21,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,54,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,500,1000,500,500,22,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,55,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,500,1500,500,500,23,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,56,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1000,0,500,500,24,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,57,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1000,500,500,500,25,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,58,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1000,1000,500,500,26,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,59,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1000,1500,500,500,27,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,60,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1500,0,500,500,28,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,61,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1500,500,500,500,29,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,62,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1500,1000,500,500,30,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,63,Toulouse/toulouse_tuile_4_img_normalized.tif,Toulouse/toulouse_tuile_4.tif,1500,1500,500,500,31,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,64,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,0,0,500,500,0,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,65,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,0,500,500,500,1,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,66,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,0,1000,500,500,2,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,67,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,0,1500,500,500,3,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,68,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,500,0,500,500,4,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,69,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,500,500,500,500,5,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,70,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,500,1000,500,500,6,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,71,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,500,1500,500,500,7,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,72,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1000,0,500,500,8,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,73,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1000,500,500,500,9,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,74,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1000,1000,500,500,10,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,75,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1000,1500,500,500,11,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,76,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1500,0,500,500,12,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,77,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1500,500,500,500,13,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,78,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1500,1000,500,500,14,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,79,Toulouse/toulouse_tuile_5_img_normalized.tif,Toulouse/toulouse_tuile_5.tif,1500,1500,500,500,15,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,80,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,0,0,500,500,16,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,81,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,0,500,500,500,17,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,82,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,0,1000,500,500,18,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,83,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,0,1500,500,500,19,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,84,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,500,0,500,500,20,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,85,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,500,500,500,500,21,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,86,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,500,1000,500,500,22,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,87,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,500,1500,500,500,23,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,88,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1000,0,500,500,24,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,89,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1000,500,500,500,25,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,90,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1000,1000,500,500,26,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,91,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1000,1500,500,500,27,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,92,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1500,0,500,500,28,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,93,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1500,500,500,500,29,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,94,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1500,1000,500,500,30,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,95,Toulouse/toulouse_tuile_6_img_normalized.tif,Toulouse/toulouse_tuile_6.tif,1500,1500,500,500,31,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,96,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,0,0,500,500,0,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,97,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,0,500,500,500,1,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,98,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,0,1000,500,500,2,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,99,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,0,1500,500,500,3,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,100,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,500,0,500,500,4,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,101,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,500,500,500,500,5,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,102,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,500,1000,500,500,6,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,103,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,500,1500,500,500,7,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,104,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1000,0,500,500,8,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,105,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1000,500,500,500,9,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,106,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1000,1000,500,500,10,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,107,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1000,1500,500,500,11,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,108,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1300,0,500,500,12,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,109,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1300,500,500,500,13,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,110,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1300,1000,500,500,14,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,111,Toulouse/toulouse_tuile_7_img_normalized.tif,Toulouse/toulouse_tuile_7.tif,1300,1500,500,500,15,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,112,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,0,0,500,500,16,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,113,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,0,500,500,500,17,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,114,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,0,1000,500,500,18,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,115,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,0,1500,500,500,19,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,116,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,500,0,500,500,20,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,117,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,500,500,500,500,21,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,118,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,500,1000,500,500,22,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,119,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,500,1500,500,500,23,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,120,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1000,0,500,500,24,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,121,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1000,500,500,500,25,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,122,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1000,1000,500,500,26,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,123,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1000,1500,500,500,27,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,124,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1500,0,500,500,28,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,125,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1500,500,500,500,29,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,126,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1500,1000,500,500,30,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,127,Toulouse/toulouse_tuile_8_img_normalized.tif,Toulouse/toulouse_tuile_8.tif,1500,1500,500,500,31,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,128,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,0,0,500,500,0,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,129,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,0,500,500,500,1,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,130,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,0,1000,500,500,2,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,131,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,0,1500,500,500,3,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,132,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,500,0,500,500,4,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,133,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,500,500,500,500,5,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,134,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,500,1000,500,500,6,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,135,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,500,1500,500,500,7,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,136,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1000,0,500,500,8,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,137,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1000,500,500,500,9,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,138,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1000,1000,500,500,10,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,139,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1000,1500,500,500,11,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,140,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1500,0,500,500,12,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,141,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1500,500,500,500,13,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,142,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1500,1000,500,500,14,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,143,Toulouse/toulouse_tuile_9_img_normalized.tif,Toulouse/toulouse_tuile_9.tif,1500,1500,500,500,15,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,144,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,0,0,500,500,16,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,145,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,0,500,500,500,17,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,146,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,0,1000,500,500,18,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,147,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,0,1500,500,500,19,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,148,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,500,0,500,500,20,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,149,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,500,500,500,500,21,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,150,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,500,1000,500,500,22,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,151,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,500,1500,500,500,23,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,152,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,1000,0,500,500,24,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,153,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,1000,500,500,500,25,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,154,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,1000,1000,500,500,26,Toulouse/toulouse_full_tiled.tif
DigitanieToulouse,155,Toulouse/toulouse_tuile_10_img_normalized.tif,Toulouse/toulouse_tuile_10.tif,1000,1500,500,500,27,Toulouse/toulouse_full_tiled.tif
